pid,planid,liability,assets,inflation_assumption,discount,wage_inf,payroll,actives_tot,inactive,retired,ActiveSalary_avg,BeneficiaryBenefit_avg,reqcont employer,pctmale,avgageret,pctmrg,df,reduct,pen,ret_liability,inact_liability,PVFB,ncrate_tot
145,wic_gen18,658709,598779,0.0275,0.075,0.03,78899,1449,,1421,50.483,27.512,0.137,,,,,,,,,,0.13
146,wic_gen20,686221.1,636877,0.0275,0.0759,0.03,80365.63,1347,516,1459,52.191,28.884,0.137,,,,,,,,,,0.13
147,wic_gen19,675257.1,613063.1,0.0275,0.076,0.03,80029.36,1441,479,1430,51.063,28.324,0.139,,,,,,,,,,0.13
148,no_gen18,658352.626,403015.342,,0.075,0.03,128530.078,2873,,2143,44.737,22.231,0.2232,,,,,,,,,,0.0739
149,no_gen20,746340.3,435149.1,0.025,0.07,0.03,135779.8,2648,314,2151,51.276,,0.1766,,,,,,,,,,0.0835
150,no_gen19,723145.4,425079.1,0.025,0.0725,0.03,149538,3024,298,2130,49.45,21.665,0.1531,,,,,,,,,,0.0828
151,clt_fir18,626518,548685,0.03,0.0621,0.03,71781,1058,,697,67.846,48.163,0.1781,,,,,,,,,,0.2366
152,clt_fir20,758667,580144,0.025,0.0338,0.03,82533,1067,16,765,77.35,51.109,0.2891,,,,,,,,,,0.2652
153,clt_fir19,684387,566042,0.03,0.0537,0.03,77041,1047,15,750,73.582,50.293,0.2104,,,,,,,,,,0.2406
154,pit_pol18,482008.624,265925.503,0.0275,,0.03,62499,955,,1466,62.499,23.567,0.2239,,,,,,,,,,0.18075
155,anc_ffp18,422300,352000,0.03,0.065,0.03,1912.942,14,,770,136.639,42.079,,,,,,,,,,,
156,anc_ffp19,436800,386600,0.03,0.07,0.03,1374.425,10,0,704,137.443,46.692,,,,,,,,,,,
157,sxf_gen18,478543.35,485281.499,0.0275,0.075,0.03,44453.666,626,,674,71.012,30.692,0.22598,,,,,,,,,,0.18306
158,sxf_gen20,522115.5,529123.2,0.0275,0.073,0.03,43388.95,545,3009,714,79.613,32.965,0.23042,,,,,,,,,,0.18212
159,sxf_gen19,502132.5,501591.6,0.0275,0.073,0.03,42823.16,577,2812,705,74.217,32.086,0.25015,,,,,,,,,,0.18295
160,bur_gen18,264696.024,193642.202,0.026,,0.03,49012.028,920,,713,53.274,22.276,0.197,,,,,,,,,,0.124
161,bur_gen20,293171.2,209861.7,0.026,0.07,0.03,50603.5,880,393,767,57.504,22.604,0.219,,,,,,,,,,0.126
162,bur_gen19,278151.2,202509.8,0.026,0.07,0.03,49218.44,913,375,766,53.908,22.364,0.208,,,,,,,,,,0.126
163,ltr_ff18,97033.041,47611.589,0.0275,0.07,0.03,0,0,,287,,46.568,,,,,,,,,,,
164,ltr_fir19,92710.23,44878.28,0.0275,0.07,0.03,0,0,8588,276,,,,,,,,,,,,,
165,crw_fir18,190005.438,20062.367,0.0275,0.04385,0.03,6875.662,109,,242,60.718,27.867,1.86142,,,,,,,,,,0.47497
166,crw_fir20,197719.8,24185.66,0.025,0.0334,0.03,6140.177,94,2,246,69769,34.445,2.09681,,,,,,,,,,0.5341
167,crw_fir19,196193.6,22233.77,0.0275,0.0371,0.03,6419.737,103,3,241,62.113,33.308,2.04159,,,,,,,,,,0.49272
168,man_gen18,355948.216,220842.313,0.025,0.07,0.03,51787,1142,,914,45.348,20.199,0.2713,,,,,,,,,,0.1292
169,man_gen20,413910.761,245208.013,0.02,0.075,0.03,54254.463,1088,,988,49.866,21.195,0.327,,,,,,,,,,0.1354
170,man_gen19,370984.435,229353.61,0.0225,0.0675,0.03,52895.992,1119,,955,47.271,20.844,0.2821,,,,,,,,,,0.1295
171,bis_gen18,113840.75,95023.653,0.03,0.075,0.03,27247.919,460,,226,56.669,22.908,0.129,,,,,,,,,,0.113
172,bis_gen20,124726.1,118296.2,0.03,0.075,0.03,28310.58,469,69,253,58.464,24.504,0.089,,,,,,,,,,0.102
173,bis_gen19,118862,108921.1,0.03,0.075,0.03,28170.78,471,67,241,57.211,23.592,0.108,,,,,,,,,,0.114
174,des_gen18,60796.919,51542.84,0.02,0.06,0.03,0,122,,179,0,18.188,,,,,,,,,,,
175,des_gen20,65469.05,56953.13,0.0225,0.056,0.03,0,116,1090,183,0,17.786,,,,,,,,,,,
176,des_gen19,62676.16,53606.21,0.0225,0.06,0.03,0,119,977,181,0,17.859,,,,,,,,,,,
177,grn_fir18,58792.713,50093.026,0.0375,0.07,0.03,8247.571,153,,108,53.906,33.576,0.16885,,,,,,,,,,
178,grn_fir20,61765.1,55227.42,0.0375,0.07,0.03,8506.181,153,141,114,55.596,35.676,,,,,,,,,,,
179,grn_fir19,60135.86,52951.94,0.0375,0.07,0.03,8424.223,154,11,112,54.703,34.752,0.16885,,,,,,,,,,
180,pit_gen18,388411.894,240346.84,0.0275,0.0725,0.03,83458.398,1767,,1691,47.232,16.173,0.18037,,,,,,,,,,0.12693
181,stl_gen19,1015455,830686,0.025,0.075,0.03,228673.6,5144,2561,4782,44.454,12.512,0.1319,,,,,,,,,,0.0585
182,stl_gen18,996543.282,831005.302,0.025,0.075,0.03,228447.481,5202,,4678,43.915,12.189,0.1226,,,,,,,,,,0.058
183,stl_gen20,1084125,841450.4,0.025,0.0725,0.03,228162.8,4984,85,4890,45.779,12.803,0.1542,,,,,,,,,,0.0559
184,dal_gen19,4863325,3682959,0.025,0.0593,0.03,444737,7427,1666,7405,58.421,37.543,0.2206,0.697,,,,,,,,,0.205
185,dal_gen18,4526996,3620319,0.0275,0.0598,0.03,435375,7584,,7224,55.871,36.542,0.2127,0.697,,,,,,,,,0.1956
186,dal_gen20,4932886,3747078,0.025,0.0527,0.03,439544,7244,143,7552,59.197,38.065,0.2153,0.697,,,,,,,,,0.2011
187,jer_gen18,211217.69,118867.748,0.03,0.081,0.03,37488.883,780,,362,48.063,33.146,0.2433,,,,,,,,,,0.12554
188,jer_gen20,253396.8,129802.4,0.03,0.07,0.03,36917.72,758,3111,416,48.704,34.886,0.3285,,,,,,,,,,
189,jer_gen19,232307.3,124335.1,0.025,0.074,0.03,37203.3,769,3160,,48.379,34.076,,,,,,,,,,,
190,oma_gen19,483904.7,253722.4,0.025,0.075,0.03,79047.56,1239,14,1473,63.799,24.341,0.20879,,,,,,,,,,0.09747
191,oma_gen18,482025.305,249518.547,0.025,0.075,0.03,75407.531,1201,,1487,62.787,23.997,0.21587,,,,,,,,,,0.09818
192,oma_gen20,490096.8,257351,0.025,0.075,0.03,86257.02,1229,151,1467,70.185,27.841,0.20194,,,,,,,,,,0.10335
193,hou_gen19,5091145,3019255,0.0225,0.07,0.03,636463,11507,82,11110,55.311,23.609,0.28804,,,,,,,,,,0.114
194,hou_gen18,4982008,2874585,0.0225,0.07,0.03,624266,11880,,10834,52.548,23.428,0.28784,,,,,,,,,,0.1132
195,hou_gen20,5196347,3074339,0.0225,0.07,0.03,657876,11594,83,11373,56.743,23.683,0.27809,,,,,,,,,,0.1144
