plan,target,status,score,exact,close,wrong,missing,extra,totals,n_tables,n_attempts,crash,run_dir,ppd
dc_teach,Retirement,production,,,,,,,clean,3,3,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/dc_teach_Retirement_20260729_174008,
den,Age_Serv_Num,production,,,,,,,clean,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/den_Age_Serv_Num_20260729_174814,ok
den,Age_Serv_Wage,scored,0.0,0,0,60,10,0,clean,2,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/den_Age_Serv_Wage_20260729_174834,
den,Ret_Rate,crash,,,,,,,,,8,"response still violates the contract after 8 attempts: | col_map references 3 source label(s) that do NOT exist in source_tables[0]: ['Hired before July 1, 2011', 'Hired after June 30, 2011', 'Normal Retirement']. Code matches these EXACTLY against the table's own labels and silently yields an empty",/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/den_Ret_Rate_20260729_174918,
den,Sep_Rate,scored,0.4,44,0,66,0,0,none,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/den_Sep_Rate_20260729_175157,
den,Avg_Mort,scored,0.0,0,1,35,64,0,none,2,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/den_Avg_Mort_20260729_175218,
den,Retirement,scored,0.0,0,0,0,22,0,none,1,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/den_Retirement_20260729_175254,
den_schools,Age_Serv_Num,production,,,,,,,clean,5,7,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/den_schools_Age_Serv_Num_20260729_175326,off
den_schools,Age_Serv_Wage,production,,,,,,,suspect,10,9,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/den_schools_Age_Serv_Wage_20260729_180002,
den_schools,Ret_Rate,crash,,,,,,,,,8,"response still violates the contract after 8 attempts: | col_map references 4 source label(s) that do NOT exist in source_tables[0]: ['Eligible for Reduced Benefits Males', 'Eligible for Reduced Benefits Females', 'Eligible for Unreduced Benefits Males', 'Eligible for Unreduced Benefits Females']. C",/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/den_schools_Ret_Rate_20260729_181823,
den_schools,Sep_Rate,production,,,,,,,none,9,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/den_schools_Sep_Rate_20260729_182743,
den_schools,Avg_Mort,production,,,,,,,none,9,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/den_schools_Avg_Mort_20260729_182840,
den_schools,Retirement,unavailable,,,,,,,none,1,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/den_schools_Retirement_20260729_183157,
hou_ff,Age_Serv_Num,scored,0.0286,1,1,27,6,5,suspect,1,8,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/hou_ff_Age_Serv_Num_20260729_183229,off
hou_ff,Age_Serv_Wage,scored,0.0,0,1,24,10,5,suspect,2,8,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/hou_ff_Age_Serv_Wage_20260729_184013,
hou_ff,Ret_Rate,crash,,,,,,,,,8,response still violates the contract after 8 attempts: | broadcast cannot be combined with transpose - transcribe the varying dimension as ROWS and set broadcast instead,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/hou_ff_Ret_Rate_20260729_184225,
hou_ff,Sep_Rate,scored,0.6545,72,0,0,38,0,none,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/hou_ff_Sep_Rate_20260729_184414,
hou_ff,Avg_Mort,production,,,,,,,clean,4,7,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/hou_ff_Avg_Mort_20260729_184437,
hou_ff,Retirement,unavailable,,,,,,,none,1,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/hou_ff_Retirement_20260729_184712,
