planid,cityabv,plantype,fy,tier,tierid,agemin,agemax,servmin,servmax,employee,inactive
phx_gen19,phx,gen,19,3,phx_gen19_t3,40,44,20,24,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,45,49,20,24,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,50,54,20,24,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,55,59,20,24,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,60,64,20,24,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,65,70,20,24,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,20,24,25,29,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,25,29,25,29,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,30,34,25,29,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,35,39,25,29,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,40,44,25,29,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,45,49,25,29,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,50,54,25,29,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,55,59,25,29,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,60,64,25,29,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,65,70,25,29,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,20,24,30,34,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,25,29,30,34,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,30,34,30,34,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,35,39,30,34,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,40,44,30,34,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,45,49,30,34,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,50,54,30,34,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,55,59,30,34,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,60,64,30,34,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,65,70,30,34,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,20,24,35,40,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,25,29,35,40,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,30,34,35,40,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,35,39,35,40,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,40,44,35,40,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,45,49,35,40,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,50,54,35,40,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,55,59,35,40,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,60,64,35,40,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,65,70,35,40,,
